timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1764717713499,131,Complete Reservation Flow,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 50 Users 1-1,,false,,2701,0,5,5,null,0,2267,131
1764717715483,131,POST /tickets/reserve,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8082 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: no further information",Reservation Flow - 50 Users 1-1,text,false,Reserve request did not return HTTP 2xx status,2701,0,4,4,http://localhost:8082/tickets/reserve,0,0,131
1764717714672,14,Complete Reservation Flow,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 50 Users 1-3,,false,,2701,0,6,6,null,0,2296,14
1764717716966,14,POST /tickets/reserve,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8082 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: no further information",Reservation Flow - 50 Users 1-3,text,false,Reserve request did not return HTTP 2xx status,2701,0,6,6,http://localhost:8082/tickets/reserve,0,0,14
1764717716466,17,Complete Reservation Flow,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 50 Users 1-6,,false,,2701,0,7,7,null,0,1163,17
1764717717622,17,POST /tickets/reserve,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8082 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: no further information",Reservation Flow - 50 Users 1-6,text,false,Reserve request did not return HTTP 2xx status,2701,0,7,7,http://localhost:8082/tickets/reserve,0,0,17
1764717715900,22,Complete Reservation Flow,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 50 Users 1-1,,false,,2701,0,8,8,null,0,1981,22
1764717717879,22,POST /tickets/reserve,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8082 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: no further information",Reservation Flow - 50 Users 1-1,text,false,Reserve request did not return HTTP 2xx status,2701,0,8,8,http://localhost:8082/tickets/reserve,0,0,22
1764717715865,22,Complete Reservation Flow,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 50 Users 1-5,,false,,2701,0,9,9,null,0,2690,22
1764717718551,22,POST /tickets/reserve,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8082 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: no further information",Reservation Flow - 50 Users 1-5,text,false,Reserve request did not return HTTP 2xx status,2701,0,9,9,http://localhost:8082/tickets/reserve,0,0,22
1764717717649,23,Complete Reservation Flow,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 50 Users 1-6,,false,,2701,0,9,9,null,0,974,23
1764717718621,23,POST /tickets/reserve,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8082 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: no further information",Reservation Flow - 50 Users 1-6,text,false,Reserve request did not return HTTP 2xx status,2701,0,9,9,http://localhost:8082/tickets/reserve,0,0,23
1764717717904,13,Complete Reservation Flow,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 50 Users 1-1,,false,,2701,0,9,9,null,0,881,13
1764717718782,13,POST /tickets/reserve,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8082 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: no further information",Reservation Flow - 50 Users 1-1,text,false,Reserve request did not return HTTP 2xx status,2701,0,9,9,http://localhost:8082/tickets/reserve,0,0,13
1764717714076,27,Complete Reservation Flow,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 50 Users 1-2,,false,,2701,0,10,10,null,0,4998,26
1764717719069,27,POST /tickets/reserve,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8082 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: no further information",Reservation Flow - 50 Users 1-2,text,false,Reserve request did not return HTTP 2xx status,2701,0,10,10,http://localhost:8082/tickets/reserve,0,0,26
