timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1764718632485,148,Complete Reservation Flow,500,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 20 Users 1-1,,false,,575,264,2,2,null,0,1311,5
1764718633687,148,POST /tickets/reserve (eventId=2),500,,Reservation Flow - 20 Users 1-1,text,false,Unexpected HTTP status,575,264,2,2,http://localhost:8082/tickets/reserve,147,0,5
1764718633455,113,Complete Reservation Flow,200,"Number of samples in transaction : 2, number of failing samples : 0",Reservation Flow - 20 Users 1-2,,true,,987,499,3,3,null,0,1736,2
1764718634317,69,POST /tickets/reserve (eventId=1),200,,Reservation Flow - 20 Users 1-2,text,true,,533,264,2,2,http://localhost:8082/tickets/reserve,69,0,2
1764718635252,44,POST /tickets/confirm,200,,Reservation Flow - 20 Users 1-2,text,true,,454,235,3,3,http://localhost:8082/tickets/confirm,43,0,0
1764718634453,64,Complete Reservation Flow,200,"Number of samples in transaction : 2, number of failing samples : 0",Reservation Flow - 20 Users 1-3,,true,,987,499,4,4,null,0,1042,3
1764718635148,36,POST /tickets/reserve (eventId=3),200,,Reservation Flow - 20 Users 1-3,text,true,,533,264,3,3,http://localhost:8082/tickets/reserve,36,0,3
1764718635531,28,POST /tickets/confirm,200,,Reservation Flow - 20 Users 1-3,text,true,,454,235,4,4,http://localhost:8082/tickets/confirm,28,0,0
1764718633945,80,Complete Reservation Flow,200,"Number of samples in transaction : 2, number of failing samples : 0",Reservation Flow - 20 Users 1-1,,true,,987,499,4,4,null,0,1809,1
1764718634753,46,POST /tickets/reserve (eventId=1),200,,Reservation Flow - 20 Users 1-1,text,true,,533,264,3,3,http://localhost:8082/tickets/reserve,46,0,1
1764718635799,34,POST /tickets/confirm,200,,Reservation Flow - 20 Users 1-1,text,true,,454,235,4,4,http://localhost:8082/tickets/confirm,34,0,0
1764718635560,44,Complete Reservation Flow,500,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 20 Users 1-3,,false,,575,264,4,4,null,0,455,0
1764718636012,44,POST /tickets/reserve (eventId=2),500,,Reservation Flow - 20 Users 1-3,text,false,Unexpected HTTP status,575,264,4,4,http://localhost:8082/tickets/reserve,44,0,0
1764718635305,259,Complete Reservation Flow,500,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 20 Users 1-2,,false,,575,264,4,4,null,0,621,0
1764718635923,259,POST /tickets/reserve (eventId=5),500,,Reservation Flow - 20 Users 1-2,text,false,Unexpected HTTP status,575,264,4,4,http://localhost:8082/tickets/reserve,258,0,0
1764718635836,44,Complete Reservation Flow,500,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 20 Users 1-1,,false,,575,264,4,4,null,0,548,0
1764718636383,44,POST /tickets/reserve (eventId=4),500,,Reservation Flow - 20 Users 1-1,text,false,Unexpected HTTP status,575,264,4,4,http://localhost:8082/tickets/reserve,44,0,0
1764718636186,41,Complete Reservation Flow,500,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 20 Users 1-2,,false,,575,264,5,5,null,0,368,1
1764718636553,41,POST /tickets/reserve (eventId=5),500,,Reservation Flow - 20 Users 1-2,text,false,Unexpected HTTP status,575,264,5,5,http://localhost:8082/tickets/reserve,41,0,1
1764718635455,29,Complete Reservation Flow,500,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 20 Users 1-4,,false,,575,264,6,6,null,0,2063,2
1764718637517,29,POST /tickets/reserve (eventId=2),500,,Reservation Flow - 20 Users 1-4,text,false,Unexpected HTTP status,575,264,6,6,http://localhost:8082/tickets/reserve,28,0,2
1764718636596,37,Complete Reservation Flow,500,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 20 Users 1-2,,false,,575,264,6,6,null,0,1011,2
1764718637606,37,POST /tickets/reserve (eventId=4),500,,Reservation Flow - 20 Users 1-2,text,false,Unexpected HTTP status,575,264,6,6,http://localhost:8082/tickets/reserve,37,0,2
1764718636060,62,Complete Reservation Flow,200,"Number of samples in transaction : 2, number of failing samples : 0",Reservation Flow - 20 Users 1-3,,true,,987,499,6,6,null,0,1684,1
1764718637285,33,POST /tickets/reserve (eventId=1),200,,Reservation Flow - 20 Users 1-3,text,true,,533,264,5,5,http://localhost:8082/tickets/reserve,32,0,1
1764718637776,29,POST /tickets/confirm,200,,Reservation Flow - 20 Users 1-3,text,true,,454,235,6,6,http://localhost:8082/tickets/confirm,29,0,0
1764718637645,38,Complete Reservation Flow,500,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 20 Users 1-2,,false,,575,264,6,6,null,0,332,2
1764718637976,38,POST /tickets/reserve (eventId=5),500,,Reservation Flow - 20 Users 1-2,text,false,Unexpected HTTP status,575,264,6,6,http://localhost:8082/tickets/reserve,38,0,2
1764718636452,66,Complete Reservation Flow,500,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 20 Users 1-5,,false,,575,264,7,7,null,0,2155,1
1764718638606,66,POST /tickets/reserve (eventId=3),500,,Reservation Flow - 20 Users 1-5,text,false,Unexpected HTTP status,575,264,7,7,http://localhost:8082/tickets/reserve,65,0,1
1764718636429,67,Complete Reservation Flow,200,"Number of samples in transaction : 2, number of failing samples : 0",Reservation Flow - 20 Users 1-1,,true,,987,499,7,7,null,0,2582,1
1764718638595,47,POST /tickets/reserve (eventId=3),200,,Reservation Flow - 20 Users 1-1,text,true,,533,264,7,7,http://localhost:8082/tickets/reserve,47,0,1
1764718639057,20,POST /tickets/confirm,200,,Reservation Flow - 20 Users 1-1,text,true,,454,235,7,7,http://localhost:8082/tickets/confirm,20,0,0
1764718638016,45,Complete Reservation Flow,500,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 20 Users 1-2,,false,,575,264,7,7,null,0,1209,1
1764718639224,45,POST /tickets/reserve (eventId=5),500,,Reservation Flow - 20 Users 1-2,text,false,Unexpected HTTP status,575,264,7,7,http://localhost:8082/tickets/reserve,45,0,1
1764718638443,30003,Complete Reservation Flow,Non HTTP response code: java.net.SocketTimeoutException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 20 Users 1-7,,false,,2709,0,20,20,null,0,951,2
1764718639386,30003,POST /tickets/reserve (eventId=5),Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Reservation Flow - 20 Users 1-7,text,false,Unexpected HTTP status,2709,0,20,20,http://localhost:8082/tickets/reserve,0,0,2
